date,description,debit,credit,balance,account_suffix,domain,source,sub_source,rule_used,parse_confidence
2023-01-01,FreshMart Supermarket,119.16,,4880.84,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-01-01,FuelStop Petrol,86.31,,4794.53,xx9002,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-01,AutoSure Car Insurance,108.84,,4685.69,xx9001,Insurance,expense,AutoSure,merchant_match,high
2023-01-01,Fashion Outlet,64.77,,4620.92,xx9003,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-01-01,CinemaWorld,28.02,,4592.90,xx9002,Social & Recreation,expense,CinemaWorld,merchant_match,high
2023-01-02,Home Loan Repayment,920.00,,3672.90,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-01-02,FreshMart Supermarket,111.98,,3560.92,xx9002,Groceries,expense,FreshMart,merchant_match,high
2023-01-02,Corner Grocer,47.22,,3513.70,xx9002,Groceries,expense,Corner Grocer,merchant_match,high
2023-01-02,FuelStop Petrol,61.99,,3451.71,xx9003,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-03,BeanCo Coffee,11.74,,3439.97,xx9001,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-03,FibreNet Internet,85.00,,3354.97,xx9002,Communications & Internet,expense,FibreNet,merchant_match,high
2023-01-03,Big Box Hardware,80.10,,3274.87,xx9003,Home & Garden,expense,Big Box Hardware,merchant_match,high
2023-01-04,Salary Employer A,,3407.82,6682.69,xx9001,INCOME,income,Employer A — Wage,income_match,high
2023-01-04,Salary Employer B,,2729.10,9411.79,xx9001,INCOME,income,Employer B — Wage,income_match,high
2023-01-04,FastFoods Drive-Thru,25.02,,9386.77,xx9001,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-01-04,CityRail,6.18,,9380.59,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-04,Mini Golf Co,36.29,,9344.30,xx9001,Social & Recreation,expense,Mini Golf Co,merchant_match,high
2023-01-04,Online Learning,45.00,,9299.30,xx9001,Education & Training,expense,Online Learning,merchant_match,high
2023-01-05,WineCellar,88.08,,9211.22,xx9001,Alcohol,expense,WineCellar,merchant_match,high
2023-01-05,Travel Agency,458.96,,8752.26,xx9001,Holidays & Travel,expense,Travel Agency,merchant_match,high
2023-01-06,HomeSafe Insurance,170.51,,8581.75,xx9001,Insurance,expense,HomeSafe,merchant_match,high
2023-01-06,Hairdresser,35.49,,8546.26,xx9001,Personal Care,expense,Hairdresser,merchant_match,high
2023-01-06,Charity Foundation,25.00,,8521.26,xx9002,Donations & Charity,expense,Charity Foundation,merchant_match,high
2023-01-07,FuelStop Petrol,76.60,,8444.66,xx9001,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-07,CityRail,10.10,,8434.56,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-07,LocalBrewery,18.68,,8415.88,xx9001,Alcohol,expense,LocalBrewery,merchant_match,high
2023-01-07,Birthday Gift Shop,89.38,,8326.50,xx9002,Gifts,expense,Birthday Gift Shop,merchant_match,high
2023-01-08,FuelStop Petrol,76.62,,8249.88,xx9002,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-08,Beauty Spa,70.38,,8179.50,xx9001,Personal Care,expense,Beauty Spa,merchant_match,high
2023-01-08,Online Learning,45.00,,8134.50,xx9002,Education & Training,expense,Online Learning,merchant_match,high
2023-01-09,Home Loan Repayment,920.00,,7214.50,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-01-09,YogaStudio,45.00,,7169.50,xx9003,Sport & Hobbies,expense,YogaStudio,merchant_match,high
2023-01-10,FreshMart Supermarket,124.01,,7045.49,xx9003,Groceries,expense,FreshMart,merchant_match,high
2023-01-10,FuelStop Petrol,85.54,,6959.95,xx9001,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-10,CityRail,6.39,,6953.56,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-10,Parking Authority,10.69,,6942.87,xx9001,Transport & Parking,expense,Parking Authority,merchant_match,high
2023-01-11,FuelStop Petrol,77.46,,6865.41,xx9003,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-11,CityRail,7.88,,6857.53,xx9003,Transport & Parking,expense,CityRail,merchant_match,high
2023-01-11,Parking Authority,5.46,,6852.07,xx9003,Transport & Parking,expense,Parking Authority,merchant_match,high
2023-01-11,MusicCloud,12.00,,6840.07,xx9003,Media Subscriptions,expense,MusicCloud,merchant_match,high
2023-01-11,Charity Foundation,25.00,,6815.07,xx9002,Donations & Charity,expense,Charity Foundation,merchant_match,high
2023-01-12,FreshMart Supermarket,96.27,,6718.80,xx9002,Groceries,expense,FreshMart,merchant_match,high
2023-01-12,BeanCo Coffee,12.18,,6706.62,xx9003,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-12,CityPharmacy,37.22,,6669.40,xx9003,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-01-12,FitnessFirst Gym,65.00,,6604.40,xx9002,Sport & Hobbies,expense,FitnessFirst,merchant_match,high
2023-01-13,FastFoods Drive-Thru,16.68,,6587.72,xx9003,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-01-13,FuelStop Petrol,78.76,,6508.96,xx9003,Vehicle Expenses,expense,FuelStop,merchant_match,high
2023-01-14,BeanCo Coffee,15.61,,6493.35,xx9002,Dining Out & Takeaway,expense,BeanCo,merchant_match,high
2023-01-14,ShoeStore,80.95,,6412.40,xx9002,Clothing & Footwear,expense,ShoeStore,merchant_match,high
2023-01-15,Fashion Outlet,147.95,,6264.45,xx9002,Clothing & Footwear,expense,Fashion Outlet,merchant_match,high
2023-01-16,Home Loan Repayment,920.00,,5344.45,xx9001,Housing – Mortgage,expense,Home Loan,mortgage_pattern,high
2023-01-16,Big Box Hardware,1.00,,5343.45,xx9002,Home & Garden,expense,Big Box Hardware,merchant_match,high
2023-01-16,WineCellar,37.86,,5305.59,xx9003,Alcohol,expense,WineCellar,merchant_match,high
2023-01-17,FreshMart Supermarket,133.44,,5172.15,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-01-17,FastFoods Drive-Thru,26.00,,5146.15,xx9002,Dining Out & Takeaway,expense,FastFoods,merchant_match,high
2023-01-17,AutoSure Car Insurance,107.99,,5038.16,xx9002,Insurance,expense,AutoSure,merchant_match,high
2023-01-17,CityPharmacy,42.82,,4995.34,xx9002,Medical & Health,expense,CityPharmacy,merchant_match,high
2023-01-18,Salary Employer A,,3586.51,8581.85,xx9001,INCOME,income,Employer A — Wage,income_match,high
2023-01-18,Salary Employer B,,2607.66,11189.51,xx9001,INCOME,income,Employer B — Wage,income_match,high
2023-01-18,FreshMart Supermarket,94.44,,11095.07,xx9001,Groceries,expense,FreshMart,merchant_match,high
2023-01-18,Corner Grocer,34.52,,11060.55,xx9002,Groceries,expense,Corner Grocer,merchant_match,high
2023-01-18,HealthShield Insurance,234.03,,10826.52,xx9001,Insurance,expense,HealthShield,merchant_match,high
2023-01-18,CityPharmacy,27.80,,10798.72,xx9002,Medical & Health,expense,CityPharmacy,merchant_match,high
